22-07-2016 02:18:53 infiSTAR.de | 0h 6min | Michael Jackson(76561198129878487) | Teleport to [13827.8,18977,0](GPS: 138189) (v0228B)
22-07-2016 03:07:10 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 plierss to Arlindo Neto! (v0228B)
22-07-2016 03:07:39 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 boltcutters to Arlindo Neto! (v0228B)
22-07-2016 03:07:50 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 lockpicks to Arlindo Neto! (v0228B)
22-07-2016 03:09:03 infiSTAR.de | 0h 14min | Arlindo Neto(76561198112843376) | God Mode - 1 (v0228B)
22-07-2016 03:09:39 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:09:39 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:09:49 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | God Mode - 1 (v0228B)
22-07-2016 03:09:56 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Explode - civ_1(76561198118580246) (v0228B)
22-07-2016 03:09:56 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Exploding [CMD. G. SAMU] DanMothe(76561198118580246) @037130 (v0228B)
22-07-2016 03:09:58 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Zeus - civ_1(76561198118580246) (v0228B)
22-07-2016 03:09:58 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Zeus [CMD. G. SAMU] DanMothe(76561198118580246) @037130 (v0228B)
22-07-2016 03:10:06 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:06 infiSTAR.de | 0h 15min | [CMD. G. SAMU] DanMothe(76561198118580246) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:07 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:07 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:08 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:08 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:09 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:10 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:10 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:10 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:10 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:10 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:11 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:11 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:11 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Exploding Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:11 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Explode - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:12 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:13 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:13 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:13 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:13 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:13 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:14 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:14 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:14 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:14 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:14 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:15 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:15 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:15 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:15 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:15 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | [CMD. G. SAMU] DanMothe(76561198118580246) | Exploding [CMD. G. SAMU] DanMothe(76561198118580246) @037130 (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | [CMD. G. SAMU] DanMothe(76561198118580246) | Explode - civ_1(76561198118580246) (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:16 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:10:17 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:17 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus Arlindo Neto(76561198112843376) @037130 (v0228B)
22-07-2016 03:10:17 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Zeus - civ_2(76561198112843376) (v0228B)
22-07-2016 03:11:22 infiSTAR.de | 0h 17min | [CMD. G. SAMU] DanMothe(76561198118580246) | Added 1 defibrillators to [CMD. G. SAMU] DanMothe! (v0228B)
22-07-2016 03:11:42 infiSTAR.de | 0h 17min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [3629.06,13087.5,0](GPS: 036130) (v0228B)
22-07-2016 03:48:05 infiSTAR.de | 23h 39min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport - Me To Target - Mateuus [GUER](76561198065694695) (v0228B)
22-07-2016 03:48:46 infiSTAR.de | 23h 39min | Mateuus(76561198065694695) | Added 10 ziptiess to Mateuus! (v0228B)
22-07-2016 03:54:14 infiSTAR.de | 0h 10min | Arlindo Neto(76561198112843376) | Teleport to [13742.5,16061,0](GPS: 137160) (v0228B)
22-07-2016 03:54:22 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [3733.96,13003.4,0](GPS: 037130) (v0228B)
22-07-2016 03:54:57 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | FastFire - 1 (v0228B)
22-07-2016 03:54:58 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | UnlimAmmo - 1 (v0228B)
22-07-2016 03:55:30 infiSTAR.de | 0h 12min | Arlindo Neto(76561198112843376) | spawning GM6 Lynx 12.7 mm (srifle_GM6_SOS_F) (v0228B)
22-07-2016 03:55:45 infiSTAR.de | 0h 12min | Mateuus(76561198065694695) | spawning Rahim 7,62 mm (srifle_DMR_01_DMS_snds_F) (v0228B)
22-07-2016 03:56:10 infiSTAR.de | 0h 12min | Mateuus(76561198065694695) | spawning P07 9 mm (hgun_P07_F) (v0228B)
22-07-2016 03:56:25 infiSTAR.de | 0h 13min | Mateuus(76561198065694695) | spawning Rahim 7,62 mm (srifle_DMR_01_F) (v0228B)
22-07-2016 03:57:08 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:57:08 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:57:08 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:57:08 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:57:09 infiSTAR.de | 0h 13min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 03:57:26 infiSTAR.de | 0h 14min | Arlindo Neto(76561198112843376) | spawning MH-9 Hummingbird (B_Heli_Light_01_F) (v0228B)
22-07-2016 04:17:42 infiSTAR.de | 0h 5min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 04:18:30 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport - Target To Me - Arlindo Neto [CIV](76561198112843376) (v0228B)
22-07-2016 04:18:40 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport - Target To Me - Arlindo Neto [CIV](76561198112843376) (v0228B)
22-07-2016 04:18:57 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 04:20:23 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Kill - cop_12(76561198078478177) (v0228B)
22-07-2016 04:20:23 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Killing CEL.Dayan(76561198078478177) @037130 (v0228B)
22-07-2016 04:29:44 infiSTAR.de | 24h 20min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport - Me To Target - Mateuus [GUER](76561198065694695) (v0228B)
22-07-2016 04:30:45 infiSTAR.de | 24h 21min | Arlindo Neto(76561198112843376) | Teleport to [3717.48,13020.7,0](GPS: 037130) (v0228B)
22-07-2016 04:30:46 infiSTAR.de | 24h 21min | Arlindo Neto(76561198112843376) | Teleport to [3717.48,13035.4,0](GPS: 037130) (v0228B)
22-07-2016 04:31:20 infiSTAR.de | 24h 22min | Arlindo Neto(76561198112843376) | Teleport - Me To Target - [CMD. G. SAMU] DanMothe [CIV](76561198118580246) (v0228B)
22-07-2016 04:31:29 infiSTAR.de | 24h 22min | Arlindo Neto(76561198112843376) | Teleport - Target To Me - [CMD. G. SAMU] DanMothe [CIV](76561198118580246) (v0228B)
22-07-2016 04:31:30 infiSTAR.de | 24h 22min | Arlindo Neto(76561198112843376) | Teleport - Target To Me - [CMD. G. SAMU] DanMothe [CIV](76561198118580246) (v0228B)
22-07-2016 04:33:19 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3729.63,12998.2,0](GPS: 037129) (v0228B)
22-07-2016 04:33:20 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3731.28,12996.6,0](GPS: 037129) (v0228B)
22-07-2016 04:33:21 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3731.28,12996.9,0](GPS: 037129) (v0228B)
22-07-2016 04:33:21 infiSTAR.de | 0h 7min | Arlindo Neto(76561198112843376) | Kill - civ_1(76561198118580246) (v0228B)
22-07-2016 04:33:21 infiSTAR.de | 0h 7min | Arlindo Neto(76561198112843376) | Killing [CMD. G. SAMU] DanMothe(76561198118580246) @037129 (v0228B)
22-07-2016 04:33:21 infiSTAR.de | 0h 7min | [CMD. G. SAMU] DanMothe(76561198118580246) | Zeus - civ_1(76561198118580246) (v0228B)
22-07-2016 04:33:22 infiSTAR.de | 0h 7min | [CMD. G. SAMU] DanMothe(76561198118580246) | Zeus [CMD. G. SAMU] DanMothe(76561198118580246) @037129 (v0228B)
22-07-2016 04:33:22 infiSTAR.de | 0h 7min | Mateuus(76561198065694695) | Teleport to [3731.28,12996.9,0](GPS: 037129) (v0228B)
22-07-2016 04:33:50 infiSTAR.de | 0h 7min | Arlindo Neto(76561198112843376) | Teleport to [3279.26,12953.7,0](GPS: 032129) (v0228B)
22-07-2016 04:34:17 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Added 1 defibrillators to Mateuus! (v0228B)
22-07-2016 04:34:20 infiSTAR.de | 0h 8min | Arlindo Neto(76561198112843376) | Teleport to [3728.45,13000.5,0](GPS: 037130) (v0228B)
22-07-2016 04:34:56 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Zeus - cop_14(76561198112843376) (v0228B)
22-07-2016 04:34:56 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | Zeus Arlindo Neto(76561198112843376) @037129 (v0228B)
22-07-2016 04:35:02 infiSTAR.de | 0h 8min | Mateuus(76561198065694695) | God Mode - 1 (v0228B)
22-07-2016 04:52:56 infiSTAR.de | 24h 43min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport - Me To Target - Mateuus [GUER](76561198065694695) (v0228B)
22-07-2016 04:53:02 infiSTAR.de | 24h 44min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport - Me To Target - Mateuus [GUER](76561198065694695) (v0228B)
22-07-2016 04:53:31 infiSTAR.de | 24h 44min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 04:54:19 infiSTAR.de | 24h 45min | Mateuus(76561198065694695) | Zeus [CMD. G. SAMU] DanMothe(76561198118580246) @037129 (v0228B)
22-07-2016 04:54:19 infiSTAR.de | 24h 45min | Mateuus(76561198065694695) | Zeus - civ_1(76561198118580246) (v0228B)
22-07-2016 04:55:15 infiSTAR.de | 0h 5min | Mateuus(76561198065694695) | Added 1 defibrillators to Mateuus! (v0228B)
22-07-2016 04:56:04 infiSTAR.de | 0h 6min | Mateuus(76561198065694695) | Teleport to [3651.35,13109.4,0](GPS: 036131) (v0228B)
22-07-2016 04:56:06 infiSTAR.de | 0h 6min | [CMD. G. SAMU] DanMothe(76561198118580246) | Teleport to [3642.35,13108.9,0](GPS: 036131) (v0228B)
22-07-2016 04:58:45 infiSTAR.de | 0h 9min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 05:30:14 infiSTAR.de | 0h 18min | Mateuus(76561198065694695) | Kick (Silent) - civ_1(76561198078478177) (v0228B)
22-07-2016 05:31:10 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 05:31:24 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3259.61,12971.2,0](GPS: 032129) (v0228B)
22-07-2016 05:31:26 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3259.93,12962.1,0](GPS: 032129) (v0228B)
22-07-2016 05:31:27 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3259.08,12953.6,0](GPS: 032129) (v0228B)
22-07-2016 05:31:29 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3259.08,12953.6,0](GPS: 032129) (v0228B)
22-07-2016 05:31:30 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3258.8,12952.5,0](GPS: 032129) (v0228B)
22-07-2016 05:31:31 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3261.63,12952.5,0](GPS: 032129) (v0228B)
22-07-2016 05:31:33 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3266.44,12951.7,0](GPS: 032129) (v0228B)
22-07-2016 05:31:34 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3271.54,12952.2,0](GPS: 032129) (v0228B)
22-07-2016 05:31:34 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3271.54,12952.2,0](GPS: 032129) (v0228B)
22-07-2016 05:31:35 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3271.54,12952.2,0](GPS: 032129) (v0228B)
22-07-2016 05:31:41 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | infiSTAR MapIcons - 1 (v0228B)
22-07-2016 05:31:42 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport to [3272.67,12952.2,0](GPS: 032129) (v0228B)
22-07-2016 05:31:47 infiSTAR.de | 0h 19min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 05:34:00 infiSTAR.de | 0h 21min | Mateuus(76561198065694695) | Teleport - Target To Me - CEL.Dayan [WEST](76561198078478177) (v0228B)
22-07-2016 06:05:09 infiSTAR.de | 0h 6min | Arlindo Neto(76561198112843376) | Teleport - Target To Me - CEL.Dayan [CIV](76561198078478177) (v0228B)
22-07-2016 06:09:21 infiSTAR.de | 0h 10min | Arlindo Neto(76561198112843376) | Teleport - Me To Target - CEL.Dayan [CIV](76561198078478177) (v0228B)
22-07-2016 06:09:59 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [3273.16,12952.4,0](GPS: 032129) (v0228B)
22-07-2016 06:10:00 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [3274.32,12954,0](GPS: 032129) (v0228B)
22-07-2016 06:10:01 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [3273.74,12953,0](GPS: 032129) (v0228B)
22-07-2016 06:10:03 infiSTAR.de | 0h 11min | Arlindo Neto(76561198112843376) | Teleport to [3286.12,12954.3,0](GPS: 032129) (v0228B)
22-07-2016 06:13:18 infiSTAR.de | 0h 14min | Arlindo Neto(76561198112843376) | Heal - civ_3(76561198112843376) (v0228B)
22-07-2016 06:14:23 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | spawning Rahim 7,62 mm (srifle_DMR_01_MRCO_F) (v0228B)
22-07-2016 06:14:25 infiSTAR.de | 0h 15min | Arlindo Neto(76561198112843376) | spawning Rahim 7,62 mm (srifle_DMR_01_MRCO_F) (v0228B)
22-07-2016 06:14:36 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Added 1 ziptiess to Arlindo Neto! (v0228B)
22-07-2016 06:14:48 infiSTAR.de | 0h 16min | Arlindo Neto(76561198112843376) | Teleport to [3261.65,12953.5,0](GPS: 032129) (v0228B)
22-07-2016 06:23:53 infiSTAR.de | 0h 25min | Arlindo Neto(76561198112843376) | Teleport to [3278.95,12952.6,0](GPS: 032129) (v0228B)
22-07-2016 06:32:39 infiSTAR.de | 0h 34min | Arlindo Neto(76561198112843376) | Teleport to [3662.47,13115.9,0](GPS: 036131) (v0228B)
22-07-2016 06:47:10 infiSTAR.de | 0h 48min | Arlindo Neto(76561198112843376) | Teleport to [22749.1,13601.6,0](GPS: 227136) (v0228B)
22-07-2016 06:47:18 infiSTAR.de | 0h 48min | Arlindo Neto(76561198112843376) | Teleport to [22376,13581.5,0](GPS: 223135) (v0228B)
22-07-2016 06:47:23 infiSTAR.de | 0h 48min | Arlindo Neto(76561198112843376) | Teleport to [22742.9,13590.6,0](GPS: 227135) (v0228B)
